id,Name,Brand,Category,SubCategory,Price,Size,Quantity
194,KMK Cranberry Whole,Kanji Manji Kothari,Grocery,Dry Fruits,199.0,200 gm,72
195,KMK Mix Mewa Cut Dry Fruits,Kanji Manji Kothari,Grocery,Dry Fruits,250.0,200 gm,43
196,Carnival Cranberry Premium Whole,Carnival,Grocery,Dry Fruits,225.0,200 gm,53
197,Carnival Cranberry Classic Sliced,Carnival,Grocery,Dry Fruits,205.0,200 gm,149
198,Carnival Dried Blueberry,Carnival,Grocery,Dry Fruits,299.0,100 gm,94
199,Carnival Cranberry Whole,Carnival,Grocery,Dry Fruits,149.0,100 gm,128
200,Vatana White,,Grocery,Pulses,61.0,500 gm,36
201,Vatana Green,,Grocery,Pulses,72.0,500 gm,135
202,Satyam Safed (White) Vatana,Satyam,Grocery,Pulses,109.0,500 gm,102
203,Vatana Black,,Grocery,Pulses,51.0,500 gm,148
204,Satyam Vatana Green,Satyam,Grocery,Pulses,129.0,500 gm,38
205,KMK Charoli,KMK,Grocery,Dry Fruits,221.0,100 gm,26
206,Premia Charoli,Premia,Grocery,Dry Fruits,229.0,100 gm,146
207,Premia Charoli,Premia,Grocery,Dry Fruits,120.0,50 gm,81
208,Satyam Vatana Black,Satyam,Grocery,Pulses,70.0,500 gm,97
209,Makhana,,Grocery,Dry Fruits,99.0,100 gm,97
210,Makhana,,Grocery,Dry Fruits,193.0,200 gm,99
211,Matki,,Grocery,Pulses,82.0,500 gm,103
212,Matki,,Grocery,Pulses,161.0,1 kg,84
213,Matki Small,,Grocery,Pulses,113.0,500 gm,109
214,Morya Phool Makhana (Fox Nuts),Morya,Grocery,Dry Fruits,130.0,100 gm,116
215,Mixed Pulses For Sprout,,Grocery,Pulses,65.0,500 gm,101
216,Wal,,Grocery,Pulses,131.0,500 gm,134
217,Moong Whole Small,,Grocery,Pulses,62.0,500 gm,101
218,Satyam Math (Matki),Satyam,Grocery,Pulses,129.0,500 gm,116
219,Satyam Wal Kadwa,Satyam,Grocery,Pulses,214.0,500 gm,75
220,Mix Chana Vatana (for Sprout),,Grocery,Pulses,71.0,500 gm,53
221,Ranguni Wal,,Grocery,Pulses,89.0,500 gm,82
222,Satyam Makhana,Satyam,Grocery,Dry Fruits,97.0,50 gm,118
223,Wal Papdi,,Grocery,Pulses,87.0,500 gm,146
224,Satyam Wal,Satyam,Grocery,Pulses,182.0,500 gm,48
225,KMK Anjeer (Figs),Kanji Manji Kothari,Grocery,Dry Fruits,355.0,200 gm,56
226,Premia Anjeer (Figs),Premia,Grocery,Grocery/Dry Fruits,162.0,100 gm,43
227,Kulith (Horse Gram),,Grocery,Pulses,62.0,500 gm,27
228,Carnival Premium Anjeer Figs,Carnival,Grocery,Dry Fruits,495.0,250 gm,145
229,Nutraj Signature Fig (Anjeer) Gold,Nutraj,Grocery,Dry Fruits,449.0,250 gm,109
230,Premia Groundnut,Premia,Grocery,Pulses,107.0,500 gm,122
231,Premia Groundnut,Premia,Grocery,Pulses,215.0,1 kg,123
232,Satyam Singdana (Groundnut),Satyam,Grocery,Masala & Spices,119.0,500 gm,111
233,24 Mantra Organic Peanut,24 Mantra Organic,Grocery,Pulses,145.0,500 gm,116
234,Organic Tattva Groundnuts (Peanuts),Organic Tattva,Grocery,Pulses,145.0,500 gm,51
235,Premia Sugar,Premia,Grocery,Grocery/Salt / Sugar / Jaggery,56.0,1 kg,29
236,Premia Sugar,Premia,Grocery,Grocery/Salt / Sugar / Jaggery,271.0,5 kg,87
237,Premia Cow Ghee Pouch,Premia,Grocery,Ghee & Vanaspati,575.0,1 L,139
238,Premia Poha Jada,Premia,Grocery,Grocery/Rice & Rice Products,64.0,1 kg,138
239,Premia Poha Jada,Premia,Grocery,Grocery/Rice & Rice Products,33.0,500 gm,92
240,Premia Jeera,Premia,Grocery,Grocery/Masala & Spices,48.0,100 gm,102
241,Premia Jeera,Premia,Grocery,Grocery/Masala & Spices,92.0,200 gm,96
242,Premia Jeera,Premia,Grocery,Grocery/Masala & Spices,217.0,500 gm,131
243,Premia Sabudana,Premia,Grocery,Grocery/Flours & Grains,52.0,500 gm,106
244,Premia Sabudana,Premia,Grocery,Grocery/Flours & Grains,114.0,1 kg,101
245,Premium Jaggery,,Grocery,Grocery/Salt / Sugar / Jaggery,80.0,900 gm,60
246,Premia Green Elaichi,Premia,Grocery,Grocery/Masala & Spices,55.0,20 gm,50
247,Premia Green Elaichi,Premia,Grocery,Grocery/Masala & Spices,130.0,50 gm,92
248,Premia Dry Coconut,Premia,Grocery,Grocery/Masala & Spices,93.0,200 gm,41
249,Premia Dry Coconut,Premia,Grocery,Grocery/Masala & Spices,195.0,500 gm,119
250,Keshar Premium Natural Jaggery Jar,Keshar,Grocery,Grocery/Salt / Sugar / Jaggery,100.0,900 gm,33
251,Premia Black Pepper,Premia,Grocery,Grocery/Masala & Spices,112.0,100 gm,141
252,Premia Black Pepper,Premia,Grocery,Grocery/Masala & Spices,60.0,50 gm,115
253,Premia Black Pepper,Premia,Grocery,Grocery/Masala & Spices,220.0,200 gm,60
254,Premia Dhaniya,Premia,Grocery,Grocery/Masala & Spices,74.0,200 gm,102
255,Premia Dhaniya,Premia,Grocery,Grocery/Masala & Spices,144.0,400 gm,122
256,Premia Kashmiri Chilli Powder Deluxe,Premia,Grocery,Grocery/Masala & Spices,60.0,100 gm,148
257,Premia Kashmiri Chilli Powder Deluxe,Premia,Grocery,Grocery/Masala & Spices,113.0,200 gm,125
258,Premia Kashmiri Chilli Powder Deluxe,Premia,Grocery,Grocery/Masala & Spices,275.0,500 gm,136
259,Premia Badishep,Premia,Grocery,Grocery/Masala & Spices,44.0,100 gm,131
260,Premia Badishep,Premia,Grocery,Grocery/Masala & Spices,84.0,200 gm,108
261,Premia Badishep,Premia,Grocery,Grocery/Masala & Spices,173.0,500 gm,78
262,Premia Rai,Premia,Grocery,Grocery/Masala & Spices,22.0,100 gm,136
263,Premia Rai,Premia,Grocery,Grocery/Masala & Spices,40.0,200 gm,48
264,Premia Rai,Premia,Grocery,Grocery/Masala & Spices,85.0,500 gm,110
265,Premia Kashmiri Chilli Powder,Premia,Grocery,Grocery/Masala & Spices,540.0,1 kg,33
266,Mamra (Puffed Rice),,Grocery,Grocery/Rice & Rice Products,60.0,500 gm,41
267,Jaggery,Plain Jaggery,Grocery,Grocery/Salt / Sugar / Jaggery,45.0,450 gm,54
268,Jaggery,Plain Jaggery,Grocery,Grocery/Salt / Sugar / Jaggery,90.0,900 gm,149
269,Premia Cassia Taj,Premia,Grocery,Grocery/Masala & Spices,110.0,100 gm,104
270,Premia Haldi Powder Deluxe,Premia,Grocery,Grocery/Masala & Spices,21.0,100 gm,117
271,Premia Haldi Powder Deluxe,Premia,Grocery,Grocery/Masala & Spices,39.0,200 gm,137
272,Premia Haldi Powder Deluxe,Premia,Grocery,Grocery/Masala & Spices,81.0,500 gm,43
273,Premia Haldi Powder Deluxe,Premia,Grocery,Grocery/Masala & Spices,158.0,1 kg,47
274,Premia Dhania Powder Deluxe,Premia,Grocery,Grocery/Masala & Spices,24.0,100 gm,145
275,Premia Dhania Powder Deluxe,Premia,Grocery,Grocery/Masala & Spices,107.0,500 gm,85
276,Premia Dhania Powder Deluxe,Premia,Grocery,Grocery/Masala & Spices,191.0,1 kg,138
277,Premia Ajma,,Grocery,Grocery/Masala & Spices,60.0,100 gm,148
278,Premia Emli,Premia,Grocery,Grocery/Masala & Spices,53.0,200 gm,108
279,Premia Emli,Premia,Grocery,Grocery/Masala & Spices,111.0,500 gm,139
280,Premia Rai Small,Premia,Grocery,Grocery/Masala & Spices,19.0,100 gm,109
281,Premia Rai Small,Premia,Grocery,Grocery/Masala & Spices,35.0,200 gm,115
282,Premia Rai Small,Premia,Grocery,Grocery/Masala & Spices,72.0,500 gm,89
283,Premia Poha Patla,Premia,Grocery,Grocery/Rice & Rice Products,37.0,500 gm,99
284,Premia Til White,Premia,Grocery,Grocery/Masala & Spices,29.0,100 gm,74
285,Premia Til White,Premia,Grocery,Grocery/Masala & Spices,128.0,500 gm,139
286,Premia Coconut Powder,Premia,Grocery,Grocery/Masala & Spices,66.0,200 gm,86
287,Premia Lukhnowi Badishep,Premia,Grocery,Grocery/Masala & Spices,43.0,100 gm,128
288,Premia Khaskhas,Premia,Grocery,Grocery/Masala & Spices,118.0,50 gm,131
289,Premia Green Elaichi Economy,Premia,Grocery,Grocery/Masala & Spices,16.0,10 gm,113
290,Premia Star Anise (Badiyan),Premia,Grocery,Grocery/Masala & Spices,170.0,100 gm,127
291,Premia Guntur Chilli,Premia,Grocery,Grocery/Masala & Spices,71.0,100 gm,96
292,Premia Roasted Badishep,Premia,Grocery,Grocery/Masala & Spices,35.0,100 gm,45
293,Premia Lawang,Premia,Grocery,Grocery/Masala & Spices,40.0,20 gm,147
294,Premia Lawang,Premia,Grocery,Grocery/Masala & Spices,92.0,50 gm,98
295,Premia Dhaniya Dal,Premia,Grocery,Grocery/Masala & Spices,66.0,100 gm,97
296,Premia Poha Basmati,Premia,Grocery,Grocery/Rice & Rice Products,57.0,500 gm,52
297,Premia Kasoori Methi,Premia,Grocery,Grocery/Masala & Spices,54.0,100 gm,131
298,Premia Methi,Premia,Grocery,Grocery/Masala & Spices,17.0,100 gm,85
299,Premia Methi,Premia,Grocery,Grocery/Masala & Spices,72.0,500 gm,126
300,Premia Sabja,Premia,Grocery,Grocery/Masala & Spices,47.0,100 gm,62
301,Premia Jeera Powder Deluxe,Premia,Grocery,Grocery/Masala & Spices,40.0,100 gm,68
302,Premia Jeera Powder Deluxe,Premia,Grocery,Grocery/Masala & Spices,77.0,200 gm,42
303,Premia Sabudana Small,Premia,Grocery,Grocery/Flours & Grains,59.0,500 gm,148
304,Premia Black Pepper Powder,Premia,Grocery,Grocery/Masala & Spices,112.0,100 gm,135
